Designator,Mid X,Mid Y,Rotation,Layer
SW3,224.4075,-65.66,0.0,top
SW4,224.32,-73.505,180.0,top
TP1,191.31,-57.24,0.0,top
TP2,181.64,-46.42,0.0,top
TP3,178.84,-50.02,0.0,top
TP4,193.93,-54.28,0.0,top
TP5,105.13,-83.45,0.0,top
TP6,156.28,-77.6,0.0,top
TP7,168.32,-56.32,0.0,top
TP8,193.84,-66.81,0.0,top
TP9,162.83,-55.88,0.0,top
U1,174.795,-68.74,270.0,top
U10,87.865,-105.335,180.0,top
U11,131.209503,-104.42,90.0,top
U12,118.579503,-104.289501,90.0,top
U15,105.5,-92.5,0.0,top
U16,100.04,-77.6925,0.0,top
U17,120.7625,-54.0275,180.0,top
U18,92.585,-70.9575,0.0,top
U19,147.805,-56.395,270.0,top
U2,185.88,-51.685,90.0,top
U20,125.972492,-76.614008,0.0,top
U21,118.792508,-69.540992,0.0,top
U3,158.04,-96.76,0.0,top
U4,217.4375,-91.6575,180.0,top
U5,197.7025,-97.21,0.0,top
U6,214.715,-58.29,180.0,top
U7,125.075,-104.345,180.0,top
U8,112.49,-104.44,180.0,top
U9,97.43,-105.495,180.0,top
Y1,159.22,-67.32,0.0,top
Y2,162.84,-63.8,180.0,top
Y3,215.195,-50.76,0.0,top
Y4,218.695,-53.03,270.0,top
